VGR ordrsp verification result !!!
ORDRSP Copy back checked on 2014-12-01 at 2014-12-22_05-29-45
 
Integration Missing ordrsps Count - 5248
 
Database ordrsp count - 17029
 
Integration Missing ORDRSP ID/s list.
----------------------------------------------
ORDER ID | ORDRSP ID
 OR60762526|603346
 OR60762624|604262
 OR60762771|605664
 OR60762806|606027
 OR60762871|606379
 OR60762931|606820
 OR60762936|606852
 OR60763049|607927
 OR60763076|608159
 OR60763077|608161
 OR60763120|608426
 OR60763123|608424
 OR60763123|OR60763123
 OR60763129|608446
 OR60763138|608462
 OR60763147|608551
 OR60763163|609035
 OR60763166|608922
 OR60763184|609056
 OR60763200|609224
 OR60763203|609227
 OR60763206|609264
 OR60763208|609273
 OR60763227|609452
 OR60763228|1113558
 OR60763229|6881274
 OR60763229|6883385
 OR60763230|6881275
 OR60763230|6883171
 OR60763231|6881328
 OR60763231|6883481
 OR60763231|6884166
 OR60763232|1113573
 OR60763233|1113574
 OR60763235|6881367
 OR60763235|6883415
 OR60763236|6881369
 OR60763236|6883410
 OR60763237|6881377
 OR60763237|6883404
 OR60763240|1113609
 OR60763241|1113611
 OR60763242|6881889
 OR60763242|6883534
 OR60763242|6884165
 OR60763243|6881932
 OR60763243|6883566
 OR60763244|1113612
 OR60763245|1113613
 OR60763246|609650
 OR60763249|1113625
 OR60763250|6882394
 OR60763250|6883552
 OR60763251|6882612
 OR60763251|6883520
 OR60763252|1113630
 OR60763253|6882698
 OR60763253|6883540
 OR60763254|1113632
 OR60763256|1113642
 OR60763257|609795
 OR60763258|609796
 OR60763259|1113649
 OR60763260|609797
 OR60763261|609799
 OR60763262|6884399
 OR60763262|6887792
 OR60763263|1113650
 OR60763264|609803
 OR60763265|1113656
 OR60763266|6884415
 OR60763266|6887811
 OR60763267|6884416
 OR60763267|6887830
 OR60763268|609809
 OR60763269|1113681
 OR60763270|6885329
 OR60763270|6887187
 OR60763271|609874
 OR60763272|1113683
 OR60763274|609896
 OR60763275|609917
 OR60763276|1113695
 OR60763277|609915
 OR60763278|1113707
 OR60763279|1113714
 OR60763280|6886981
 OR60763280|6887216
 OR60763281|1113726
 OR60763282|1113737
 OR60763283|15812188
 OR60763284|6887851
 OR60763284|6903205
 OR60763285|1113738
 OR60763291|6888424
 OR60763291|6903198
 OR60763292|6888426
 OR60763292|6901974
 OR60763292|6936763
 OR60763293|1113778
 OR60763294|1113789
 OR60763295|1113806
 OR60763296|6892158
 OR60763296|6903228
 OR60763297|1113859
 OR60763298|15813096
 OR60763299|6892184
