VGR ordrsp verification result !!!
Time duration 2014-10-06 to 2014-10-06
 
Integration Missing ordrsps Count - 162
 
Database ordrsp count - 994
 
Integration Missing ORDRSP ID/s list.
----------------------------------------------
ORDER ID | ORDRSP ID
 OR60758338|6031674
 OR60758339|6031681
 OR60758340|6031641
 OR60758343|6031726
 OR60758344|6031769
 OR60758344|6039888
 OR60758345|6031958
 OR60758346|6037672
 OR60758349|6035636
 OR60758349|6039887
 OR60758350|6035601
 OR60758353|6035525
 OR60758353|6039883
 OR60758359|6034996
 OR60758360|6036622
 OR60758361|6035389
 OR60758362|6036322
 OR60758375|6041074
 OR60758387|6041476
 OR60822217|6031679
 OR60822223|6031772
 OR61948545|6031709
 OR61948547|6031699
 OR61948549|6031753
 OR61948550|6031728
 OR61948553|6035662
 OR61948556|6035347
 OR61948563|6037538
 OR61948566|6037530
 OR71124761|6029668
 OR71124762|6029670
 OR71124763|6029819
 OR71124764|6029791
 OR71124765|6029823
 OR71124766|6034180
 OR71124767|6033919
 OR71124768|6033888
 OR71124769|6040953
 OR71124772|6040974
 OR71124773|6041120
 OR71124774|6041092
 OR71124775|6041158
 OR71124776|6041126
 OR71124777|6041178
 OR71124778|6041171
 OR71124779|6041206
 OR71124780|6041200
 OR71124781|6041746
 OR731173736|6030466
 OR731173736|6033191
 OR731173802|6037619
 OR731173805|6036861
 OR731173812|6037006
 OR731173813|6037221
 OR731173813|6046090
 OR731173814|6037173
 OR731173818|6037102
 OR731173820|6036727
 OR731173822|6037235
 OR731173827|6036698
 OR731173829|6037476
 OR731173831|6037428
 OR731173831|6046089
 OR731173832|6037613
 OR731173834|6037154
 OR731173835|6038043
 OR731173835|6047850
 OR731173837|6037457
 OR731173838|6037339
 OR731173841|6037402
 OR731173843|6036960
 OR731173843|6047842
 OR731173849|6037229
 OR731173849|6039895
 OR731173851|6037396
 OR731173852|6036962
 OR731173852|6046623
 OR731173854|6037178
 OR731173855|6037529
 OR731173856|6037225
 OR731173857|6037095
 OR731173858|6037292
 OR731173860|6037150
 OR731173860|6046622
 OR731173861|6037548
 OR731173864|6037271
 OR731173865|6037231
 OR731173867|6036840
 OR731173869|6037433
 OR731173871|6037459
 OR731173874|6037671
 OR731173876|6036748
 OR731173879|6037104
 OR731173880|6037244
 OR731173880|6046091
 OR731173880|6047837
 OR731173910|6036595
 OR731173910|6042842
 OR731174093|6048188
 OR731174099|6048264
 OR73262948|6036848
 OR73262951|6036251
 OR73262952|6036694
 OR73262952|6046088
 OR73262953|6036402
 OR73262961|6036741
 OR73262962|6036202
 OR73262962|6039340
 OR73262962|6047841
 OR73262964|6036591
 OR73263042|6048257
 OR73359556|6039345
 OR73359558|6035478
 OR73359559|6036044
 OR73359559|6045857
 OR73359560|6035606
 OR73359561|6035639
 OR73359563|6035631
 OR73359564|6035575
 OR73359567|6035993
 OR73359568|6035894
 OR73359569|6035629
 OR73359570|6035949
 OR73359571|6039341
 OR73359572|6035614
 OR73359632|6048196
 OR73456408|6034955
 OR73456410|6035166
 OR73456410|6044619
 OR73456411|6035302
 OR73456411|6039344
 OR73456412|6034852
 OR73456413|6039343
 OR73456414|6036049
 OR73456414|6046624
 OR73456418|6034942
 OR73456419|6035301
 OR73456419|6039342
 OR73456420|6034823
 OR73456424|6035285
 OR73456426|6035085
 OR73456428|6034881
 OR73456429|6035066
 OR73456430|6034746
 OR73456431|6034939
 OR73456432|6034748
 OR73456434|6035368
 OR73456436|6036249
 OR73456436|6039339
 OR73456436|6047849
 OR73456489|6048222
 OR73516666|6048091
 OR73606120|6037508
 OR73606121|6037499
 OR73606122|6037484
 OR73606128|6039979
 OR73709305|6034558
 OR73709308|6034654
 OR73709308|6039891
 OR73709311|6039514
 OR73709311|6040258
 OR73801804|6040849
